#Episode,#Frame,#Epsode Timesteps,Total episode score,Last Mean Batch Loss
228,4984,11,10.0,-1
229,5034,50,49.0,0.24361882
230,5065,31,30.0,0.17978992
231,5091,26,25.0,0.119927086
232,5111,20,19.0,0.069602266
233,5122,11,10.0,0.040191516
234,5131,9,8.0,0.016312495
235,5147,16,15.0,0.0022674277
236,5166,19,18.0,0.025683388
237,5186,20,19.0,0.022719178
238,5216,30,29.0,0.0101663815
239,5226,10,9.0,0.019677512
240,5269,43,42.0,0.02095341
241,5307,38,37.0,0.010906862
242,5337,30,29.0,0.020945217
243,5354,17,16.0,0.0011253778
244,5383,29,28.0,0.00052082964
245,5429,46,45.0,0.011654432
246,5446,17,16.0,0.04259566
247,5455,9,8.0,0.01029694
248,5466,11,10.0,0.0112341875
249,5503,37,36.0,0.020231327
250,5523,20,19.0,0.021230323
251,5561,38,37.0,0.021004507
252,5571,10,9.0,0.00088477216
253,5588,17,16.0,0.019820383
254,5608,20,19.0,0.010302202
255,5621,13,12.0,0.020670794
256,5639,18,17.0,0.00050711166
257,5665,26,25.0,0.030913372
258,5688,23,22.0,0.010634617
259,5711,23,22.0,0.000712167
260,5754,43,42.0,0.029739153
261,5769,15,14.0,0.030185353
262,5780,11,10.0,0.029003534
263,5806,26,25.0,0.0008378476
264,5867,61,60.0,0.010283256
265,5879,12,11.0,0.020556854
266,5922,43,42.0,0.020995824
267,5947,25,24.0,0.010317451
268,5957,10,9.0,0.021480504
269,5986,29,28.0,0.039570414
270,5998,12,11.0,0.03029573
271,6022,24,23.0,0.00081310875
272,6041,19,18.0,0.010527792
273,6069,28,27.0,0.00062800664
274,6108,39,38.0,0.02107636
275,6138,30,29.0,0.029175032
276,6155,17,16.0,0.019627403
277,6176,21,20.0,0.0199331
278,6190,14,13.0,0.000732533
279,6200,10,9.0,0.020491915
280,6227,27,26.0,0.00076506886
281,6244,17,16.0,0.030484958
282,6260,16,15.0,0.010385091
283,6299,39,38.0,0.040937785
284,6350,51,50.0,0.009894156
285,6375,25,24.0,0.0007536997
286,6405,30,29.0,0.02084846
287,6418,13,12.0,0.000669254
288,6436,18,17.0,0.020798286
289,6467,31,30.0,0.0097324345
290,6477,10,9.0,0.010188956
291,6495,18,17.0,0.029606646
292,6510,15,14.0,0.030417424
293,6525,15,14.0,0.0006676669
294,6548,23,22.0,0.010479134
295,6569,21,20.0,0.011264188
296,6620,51,50.0,0.019968197
297,6635,15,14.0,0.039081417
298,6654,19,18.0,0.02145262
