#Episode,#Frame,#Epsode Timesteps,Total episode score,Last Mean Batch Loss
213,4644,21,20.0,0.0
214,4656,12,11.0,0.0
215,4687,31,30.0,0.0
216,4704,17,16.0,0.0
217,4749,45,44.0,0.0
218,4769,20,19.0,0.0
219,4779,10,9.0,0.0
220,4809,30,29.0,0.0
221,4847,38,37.0,0.0
222,4861,14,13.0,0.0
223,4884,23,22.0,0.0
224,4908,24,23.0,0.0
225,4931,23,22.0,0.0
226,4977,46,45.0,0.0
227,5001,24,23.0,0.004993140101432801
228,5017,16,15.0,0.08043430507183075
229,5038,21,20.0,0.08173197358846665
230,5055,17,16.0,0.07177317708730697
231,5071,16,15.0,0.03688963174819946
232,5083,12,11.0,0.043662086874246595
233,5101,18,17.0,0.023122517857700586
234,5135,34,33.0,0.11435772913508117
235,5145,10,9.0,0.02658566154539585
236,5176,31,30.0,0.11995218884199858
237,5193,17,16.0,0.07774569191038609
238,5215,22,21.0,0.13555281199514865
239,5227,12,11.0,0.06972853649407625
240,5257,30,29.0,0.19555046796798706
241,5274,17,16.0,0.10854760013520717
242,5301,27,26.0,0.19045296588912605
243,5316,15,14.0,0.12673015639185906
244,5334,18,17.0,0.1863919973373413
245,5348,14,13.0,0.2258404788374901
246,5363,15,14.0,0.2068121687322855
247,5395,32,31.0,0.3703225616924465
248,5413,18,17.0,0.22445423781871796
249,5429,16,15.0,0.19779900826513766
250,5450,21,20.0,0.3013875150680542
251,5486,36,35.0,0.6225946291908622
252,5506,20,19.0,0.33318060271441935
253,5514,8,7.0,0.07402166552841663
254,5537,23,22.0,0.39898216284811494
255,5550,13,12.0,0.13292133875191212
256,5576,26,25.0,0.4965705020725727
257,5591,15,14.0,0.30695242151618
258,5607,16,15.0,0.4368328747153282
259,5619,12,11.0,0.23302364110946655
260,5635,16,15.0,0.3949730998277664
261,5669,34,33.0,0.678347485512495
262,5679,10,9.0,0.2108037006855011
263,5700,21,20.0,0.4250523430109024
264,5719,19,18.0,0.4466253834962845
265,5737,18,17.0,0.3541230255365372
266,5770,33,32.0,0.7751168648898602
267,5781,11,10.0,0.29164239168167116
268,5798,17,16.0,0.4629862117767334
269,5818,20,19.0,0.30789500594139096
270,5873,55,54.0,1.3294218426942825
271,5887,14,13.0,0.32280761510133743
272,5902,15,14.0,0.4252460041642189
273,5927,25,24.0,0.6052317360043525
274,5940,13,12.0,0.14265649557113647
275,5966,26,25.0,0.8494769105315209
276,5991,25,24.0,0.5349006068706512
277,6020,29,28.0,0.570146880298853
278,6052,32,31.0,0.7573847189545632
279,6069,17,16.0,0.3336349311470985
280,6086,17,16.0,0.48007306814193723
281,6102,16,15.0,0.3388287264108658
282,6132,30,29.0,1.187924622297287
283,6146,14,13.0,0.5339145785570145
284,6162,16,15.0,0.6179094612598419
285,6201,39,38.0,1.1475648748874665
286,6229,28,27.0,0.9949564629793167
287,6255,26,25.0,0.878644022345543
288,6267,12,11.0,0.7366925653815269
289,6283,16,15.0,0.6916291236877441
290,6294,11,10.0,1.0849839544296265
291,6307,13,12.0,0.5611715316772461
292,6335,28,27.0,1.714854918718338
293,6364,29,28.0,1.8053320276737213
294,6412,48,47.0,1.9140210223197938
295,6458,46,45.0,2.191271324157715
296,6494,36,35.0,1.331816719174385
297,6506,12,11.0,0.4479250651597977
298,6517,11,10.0,0.3782525330781937
299,6546,29,28.0,1.3758041989803313
300,6565,19,18.0,1.602247829437256
301,6610,45,44.0,1.9611361742019653
302,6645,35,34.0,1.5817436611652373
303,6665,20,19.0,1.2195774328708648
304,6685,20,19.0,1.019034668803215
305,6702,17,16.0,1.057923726439476
306,6734,32,31.0,1.368137417435646
307,6757,23,22.0,0.9798459094762803
308,6779,22,21.0,0.9112910377979279
309,6820,41,40.0,1.6545380318164826
310,6837,17,16.0,0.988767831325531
311,6867,30,29.0,1.9578945958614349
312,6911,44,43.0,2.282567344903946
313,6925,14,13.0,1.02497172832489
314,6952,27,26.0,1.0556676268577576
315,6975,23,22.0,1.3575902378559113
316,6989,14,13.0,1.0594202637672425
317,7032,43,42.0,2.367730371952057
318,7101,69,68.0,3.3785949432849884
319,7134,33,32.0,1.0888704323768617
320,7185,51,50.0,1.8118603068590164
321,7213,28,27.0,1.3291738206148147
322,7225,12,11.0,0.6900645446777344
323,7276,51,50.0,2.326841686964035
324,7321,45,44.0,2.182879083156586
325,7335,14,13.0,0.7779478812217713
326,7352,17,16.0,0.686286004781723
327,7391,39,38.0,2.3078310400247575
328,7402,11,10.0,0.6843023657798767
329,7421,19,18.0,1.391398584842682
330,7482,61,60.0,3.05039764046669
331,7507,25,24.0,0.8322530066967011
332,7526,19,18.0,0.7805257177352906
333,7545,19,18.0,0.9704318594932556
334,7573,28,27.0,1.6068183195590973
335,7655,82,81.0,3.852494251728058
336,7699,44,43.0,2.3985132455825804
337,7750,51,50.0,2.874477150440216
338,7786,36,35.0,1.7509645956754685
339,7869,83,82.0,4.548441665172577
340,7992,123,122.0,8.551569809913635
341,8009,17,16.0,0.8799790143966675
342,8061,52,51.0,3.3551468646526335
343,8098,37,36.0,2.4523093938827514
344,8260,162,161.0,8.163123455047607
345,8311,51,50.0,2.0933771932125094
346,8328,17,16.0,1.3425067353248596
347,8416,88,87.0,5.349059363603592
348,8476,60,59.0,4.035914025306702
349,8534,58,57.0,2.6620120716094973
350,8606,72,71.0,6.152887960672379
351,8696,90,89.0,4.655500692129135
352,8711,15,14.0,1.127117018699646
353,8741,30,29.0,1.873315269947052
354,8756,15,14.0,1.4105425691604614
355,8778,22,21.0,1.7626215028762817
356,8811,33,32.0,2.947060489654541
357,8835,24,23.0,2.026066737174988
358,8949,114,113.0,9.963999919891357
359,8981,32,31.0,2.9864615058898925
360,9022,41,40.0,3.4508492398262023
361,9208,186,185.0,14.014686926603318
362,9349,141,140.0,9.350275700092316
363,9380,31,30.0,2.266236645579338
364,9541,161,160.0,13.803111166954041
365,9575,34,33.0,2.3851837372779845
366,9592,17,16.0,1.6077796196937562
367,9645,53,52.0,4.423525409698486
368,9783,138,137.0,14.82606793642044
369,9846,63,62.0,4.915920538902283
370,9967,121,120.0,11.787162020206452
371,10026,59,58.0,8.370716910362244
372,10056,30,29.0,4.750791683197021
373,10212,156,155.0,15.6426981818676
374,10353,141,140.0,15.542481105327607
375,10365,12,11.0,0.8589236187934876
376,10384,19,18.0,2.953962302207947
377,10494,110,109.0,9.69060887336731
378,10512,18,17.0,2.776304316520691
379,10556,44,43.0,4.945444145202637
380,10587,31,30.0,2.7322096681594847
381,10623,36,35.0,4.043139345645905
382,10680,57,56.0,6.088569164276123
383,10722,42,41.0,6.293596241474152
384,10900,178,177.0,30.14068487405777
385,10926,26,25.0,5.202047469615937
386,10947,21,20.0,3.1661652278900148
387,10973,26,25.0,5.488011846542358
388,10996,23,22.0,2.6500882363319396
389,11088,92,91.0,11.420014494657517
390,11120,32,31.0,2.873454487323761
391,11256,136,135.0,20.328499685525895
392,11351,95,94.0,13.761971464157105
393,11404,53,52.0,6.864141926765442
394,11431,27,26.0,4.329308996200561
395,11488,57,56.0,13.695137898921967
396,11611,123,122.0,17.915095310211182
397,11755,144,143.0,20.53115091204643
398,11910,155,154.0,22.841353907585145
399,11938,28,27.0,2.685374947786331
400,11981,43,42.0,7.696475009918213
401,12131,150,149.0,19.309883877038956
402,12171,40,39.0,4.9718480706214905
403,12232,61,60.0,7.50448308467865
404,12467,235,234.0,41.526230821609495
405,12674,207,206.0,25.84153113603592
406,12786,112,111.0,21.473473476171492
407,13043,257,256.0,35.44119092941284
408,13069,26,25.0,5.480226016044616
409,13256,187,186.0,35.23506614089012
410,13319,63,62.0,13.960055747032165
411,13409,90,89.0,13.959855325222016
412,13510,101,100.0,16.94097172141075
413,13523,13,12.0,1.756466189622879
414,13632,109,108.0,26.263844187259675
415,13731,99,98.0,21.241041088104247
416,13801,70,69.0,17.179082502126693
417,13934,133,132.0,18.332094022035598
418,13958,24,23.0,5.675606849193573
419,14143,185,184.0,28.555677295923232
420,14325,182,181.0,33.65861907124519
421,14474,149,148.0,28.502132979631423
422,14591,117,116.0,35.06563155651092
423,14729,138,137.0,23.430765595436096
424,14875,146,145.0,25.163479461669922
425,15014,139,138.0,24.051835241913796
426,15331,317,316.0,39.569912768006326
427,15524,193,192.0,41.22790621876717
428,15768,244,243.0,21.981148346662522
429,15933,165,164.0,43.03081966996193
430,16089,156,155.0,31.120347366333007
431,16267,178,177.0,32.43854993402958
432,16327,60,59.0,11.90190734386444
433,16486,159,158.0,28.763756337165834
434,16624,138,137.0,35.57845854401589
435,16770,146,145.0,29.26190033555031
436,16886,116,115.0,16.473975304365158
437,17022,136,135.0,26.194206476211548
438,17117,95,94.0,20.63763704776764
439,17256,139,138.0,31.731211569309234
440,17488,232,231.0,40.96598023653031
441,17694,206,205.0,31.88804445505142
442,17974,280,279.0,39.28578420817852
443,18203,229,228.0,44.274927018880845
444,18377,174,173.0,29.063216450214387
445,18557,180,179.0,33.65044150471687
446,18606,49,48.0,9.90359003663063
447,18809,203,202.0,28.211910198926926
448,19067,258,257.0,31.01004409790039
449,19354,287,286.0,28.04893667817116
450,19663,309,308.0,26.08911493420601
451,20129,466,465.0,38.99517670631408
452,20413,284,283.0,33.595467195510864
453,20670,257,256.0,44.99425172567368
454,20794,124,123.0,29.496307140588762
455,20913,119,118.0,25.926361647844313
456,21119,206,205.0,36.15010716438294
457,21271,152,151.0,39.502262334823605
458,21369,98,97.0,18.427104470729827
459,21954,585,584.0,34.03359706759453
460,22119,165,164.0,31.126974527835845
461,22225,106,105.0,35.74123826503754
462,22464,239,238.0,33.922454577684405
463,22727,263,262.0,46.768826279640194
464,23138,411,410.0,33.95816464662552
465,23962,824,823.0,25.707488174438478
466,24082,120,119.0,28.180999925136565
467,24222,140,139.0,33.628379657268525
468,24349,127,126.0,28.494133611917494
469,24368,19,18.0,3.037904987335205
470,24480,112,111.0,19.698870923519134
471,24582,102,101.0,20.938776638507843
472,24744,162,161.0,35.4495867061615
473,24970,226,225.0,38.52402907013893
474,25091,121,120.0,27.630324960947036
475,25112,21,20.0,3.641711012125015
476,25270,158,157.0,26.347374311685563
477,25415,145,144.0,36.966331740617754
478,25596,181,180.0,36.289407091140745
479,25792,196,195.0,34.28610588312149
480,25911,119,118.0,24.850497616529466
481,26030,119,118.0,19.07066623210907
482,26058,28,27.0,19.65973487377167
483,26145,87,86.0,31.577544902563094
484,29971,3826,3825.0,33.80741499900818
485,31786,1815,1814.0,56.800772844552995
486,31913,127,126.0,23.147818183898927
487,32051,138,137.0,22.83690153479576
488,32494,443,442.0,40.64369045853615
489,33529,1035,1034.0,24.995816797614097
490,33664,135,134.0,18.015130767822267
491,33785,121,120.0,19.300797867774964
492,33966,181,180.0,39.36368506789208
493,34107,141,140.0,25.468230596184732
