EPISODE,TOTAL FRAMES,FRAME,STATE,EPSILON,ACTION,REWARD,Q_MAX,MEAN REWARD,Last Batch Loss Mean
94,1967,12,observe,1.0,1,11.0,-1,18.61,0.0
95,1994,27,observe,1.0,0,26.0,-1,18.72,0.0
96,2000,6,observe,1.0,1,6.0,-1,18.98,0.0
96,2012,18,observe,1.0,1,17.0,-1,18.98,0.0
97,2033,21,observe,1.0,0,20.0,-1,19.15,0.0
98,2055,22,observe,1.0,0,21.0,-1,19.35,0.0
99,2087,32,observe,1.0,0,31.0,-1,19.56,0.0
100,2097,10,observe,1.0,1,9.0,-1,19.87,0.0
101,2119,22,observe,1.0,1,21.0,-1,19.64,0.0
102,2130,11,observe,1.0,1,10.0,-1,19.74,0.0
103,2146,16,observe,1.0,0,15.0,-1,19.54,0.0
104,2162,16,observe,1.0,0,15.0,-1,19.55,0.0
105,2190,28,observe,1.0,1,27.0,-1,19.51,0.0
106,2200,10,observe,1.0,0,10.0,-1,19.62,0.0
106,2233,43,observe,1.0,1,42.0,-1,19.62,0.0
107,2247,14,observe,1.0,0,13.0,-1,19.92,0.0
108,2290,43,observe,1.0,0,42.0,-1,19.81,0.0
109,2309,19,observe,1.0,0,18.0,-1,19.9,0.0
110,2321,12,observe,1.0,1,11.0,-1,19.99,0.0
111,2346,25,observe,1.0,0,24.0,-1,19.98,0.0
112,2376,30,observe,1.0,0,29.0,-1,20.04,0.0
113,2395,19,observe,1.0,1,18.0,-1,20.2,0.0
114,2400,5,observe,1.0,1,5.0,-1,20.04,0.0
114,2421,26,observe,1.0,1,25.0,-1,20.04,0.0
115,2434,13,observe,1.0,0,12.0,-1,20.11,0.0
116,2463,29,observe,1.0,0,28.0,-1,20.13,0.0
117,2477,14,observe,1.0,1,13.0,-1,19.9,0.0
118,2520,43,observe,1.0,0,42.0,-1,19.89,0.0
119,2548,28,observe,1.0,1,27.0,-1,20.12,0.0
120,2589,41,observe,1.0,1,40.0,-1,20.27,0.0
121,2600,11,observe,1.0,0,11.0,-1,20.43,0.0
121,2606,17,observe,1.0,0,16.0,-1,20.43,0.0
122,2623,17,observe,1.0,0,16.0,-1,20.42,0.0
123,2641,18,observe,1.0,0,17.0,-1,20.46,0.0
124,2658,17,observe,1.0,1,16.0,-1,20.49,0.0
125,2669,11,observe,1.0,1,10.0,-1,20.5,0.0
126,2696,27,observe,1.0,1,26.0,-1,20.49,0.0
127,2730,34,observe,1.0,1,33.0,-1,20.62,0.0
128,2742,12,observe,1.0,1,11.0,-1,20.75,0.0
129,2800,58,observe,1.0,0,58.0,-1,20.69,0.0
129,2803,61,observe,1.0,0,60.0,-1,20.69,0.0
130,2816,13,observe,1.0,1,12.0,-1,21.07,0.0
131,2828,12,observe,1.0,1,11.0,-1,20.93,0.0
132,2854,26,observe,1.0,1,25.0,-1,20.68,0.0
133,2866,12,observe,1.0,1,11.0,-1,20.78,0.0
134,2899,33,observe,1.0,0,32.0,-1,20.71,0.0
135,2917,18,observe,1.0,0,17.0,-1,20.81,0.0
136,2928,11,observe,1.0,0,10.0,-1,20.74,0.0
137,2946,18,observe,1.0,0,17.0,-1,20.65,0.0
138,2975,29,observe,1.0,0,28.0,-1,20.64,0.0
139,2998,23,observe,1.0,0,22.0,-1,20.52,0.0
140,3000,2,observe,1.0,0,2.0,-1,20.59,0.0
140,3018,20,observe,1.0,1,19.0,-1,20.59,0.0
141,3031,13,observe,1.0,1,12.0,-1,20.45,0.0
142,3055,24,observe,1.0,1,23.0,-1,20.43,0.0
143,3083,28,observe,1.0,0,27.0,-1,20.27,0.0
144,3100,17,observe,1.0,1,16.0,-1,20.43,0.0
145,3127,27,observe,1.0,1,26.0,-1,20.27,0.0
146,3152,25,observe,1.0,0,24.0,-1,20.05,0.0
147,3175,23,observe,1.0,0,22.0,-1,20.18,0.0
148,3200,25,observe,1.0,0,25.0,-1,20.3,0.0
148,3228,53,observe,1.0,1,52.0,-1,20.3,0.0
149,3247,19,observe,1.0,0,18.0,-1,20.73,0.0
150,3263,16,observe,1.0,1,15.0,-1,20.83,0.0
151,3281,18,observe,1.0,0,17.0,-1,20.8,0.0
152,3301,20,observe,1.0,1,19.0,-1,20.8,0.0
153,3314,13,observe,1.0,1,12.0,-1,20.69,0.0
154,3329,15,observe,1.0,0,14.0,-1,20.71,0.0
155,3340,11,observe,1.0,0,10.0,-1,20.58,0.0
156,3360,20,observe,1.0,0,19.0,-1,20.39,0.0
157,3378,18,observe,1.0,1,17.0,-1,20.28,0.0
158,3400,22,observe,1.0,0,22.0,-1,20.2,0.0
158,3401,23,observe,1.0,0,22.0,-1,20.2,0.0
159,3422,21,observe,1.0,1,20.0,-1,20.23,0.0
160,3435,13,observe,1.0,1,12.0,-1,20.29,0.0
161,3451,16,observe,1.0,0,15.0,-1,19.92,0.0
162,3472,21,observe,1.0,1,20.0,-1,19.94,0.0
163,3532,60,observe,1.0,0,59.0,-1,19.9,0.0
164,3564,32,observe,1.0,1,31.0,-1,20.4,0.0
165,3577,13,observe,1.0,0,12.0,-1,20.59,0.0
166,3600,23,observe,1.0,0,23.0,-1,20.54,0.0
166,3608,31,observe,1.0,0,30.0,-1,20.54,0.0
167,3621,13,observe,1.0,0,12.0,-1,20.55,0.0
168,3645,24,observe,1.0,1,23.0,-1,20.45,0.0
169,3661,16,observe,1.0,1,15.0,-1,20.47,0.0
170,3686,25,observe,1.0,1,24.0,-1,20.5,0.0
171,3698,12,observe,1.0,0,11.0,-1,20.25,0.0
172,3718,20,observe,1.0,1,19.0,-1,20.22,0.0
173,3744,26,observe,1.0,1,25.0,-1,20.16,0.0
174,3769,25,observe,1.0,0,24.0,-1,20.28,0.0
175,3786,17,observe,1.0,0,16.0,-1,20.33,0.0
176,3800,14,observe,1.0,1,14.0,-1,20.34,0.0
176,3811,25,observe,1.0,0,24.0,-1,20.34,0.0
177,3829,18,observe,1.0,0,17.0,-1,20.31,0.0
178,3867,38,observe,1.0,0,37.0,-1,20.34,0.0
179,3928,61,observe,1.0,1,60.0,-1,20.6,0.0
180,3940,12,observe,1.0,1,11.0,-1,21.08,0.0
181,3956,16,observe,1.0,1,15.0,-1,21.05,0.0
182,3972,16,observe,1.0,0,15.0,-1,20.98,0.0
183,3990,18,observe,1.0,0,17.0,-1,21.04,0.0
184,4000,10,observe,1.0,0,10.0,-1,21.12,0.0
184,4009,19,observe,1.0,0,18.0,-1,21.12,0.0
185,4054,45,observe,1.0,0,44.0,-1,21.21,0.0
186,4078,24,observe,1.0,0,23.0,-1,21.39,0.0
187,4093,15,observe,1.0,0,14.0,-1,21.41,0.0
188,4126,33,observe,1.0,1,32.0,-1,21.4,0.0
189,4139,13,observe,1.0,0,12.0,-1,21.6,0.0
190,4160,21,observe,1.0,1,20.0,-1,21.38,0.0
191,4200,40,observe,1.0,0,40.0,-1,21.5,0.0
191,4202,42,observe,1.0,0,41.0,-1,21.5,0.0
192,4222,20,observe,1.0,0,19.0,-1,21.78,0.0
193,4237,15,observe,1.0,0,14.0,-1,21.84,0.0
194,4256,19,observe,1.0,1,18.0,-1,21.82,0.0
195,4275,19,observe,1.0,0,18.0,-1,21.89,0.0
196,4297,22,observe,1.0,1,21.0,-1,21.81,0.0
197,4366,69,observe,1.0,1,68.0,-1,21.85,0.0
198,4396,30,observe,1.0,0,29.0,-1,22.33,0.0
199,4400,4,observe,1.0,0,4.0,-1,22.41,0.0
199,4417,21,observe,1.0,1,20.0,-1,22.41,0.0
200,4434,17,observe,1.0,1,16.0,-1,22.3,0.0
201,4463,29,observe,1.0,1,28.0,-1,22.37,0.0
202,4481,18,observe,1.0,0,17.0,-1,22.44,0.0
203,4513,32,observe,1.0,1,31.0,-1,22.51,0.0
204,4533,20,observe,1.0,0,19.0,-1,22.67,0.0
205,4547,14,observe,1.0,0,13.0,-1,22.71,0.0
206,4562,15,observe,1.0,1,14.0,-1,22.57,0.0
207,4584,22,observe,1.0,1,21.0,-1,22.29,0.0
208,4600,16,observe,1.0,1,16.0,-1,22.37,0.0
208,4613,29,observe,1.0,1,28.0,-1,22.37,0.0
209,4625,12,observe,1.0,1,11.0,-1,22.23,0.0
210,4645,20,observe,1.0,1,19.0,-1,22.16,0.0
211,4656,11,observe,1.0,1,10.0,-1,22.24,0.0
212,4692,36,observe,1.0,1,35.0,-1,22.1,0.0
213,4727,35,observe,1.0,0,34.0,-1,22.16,0.0
214,4748,21,observe,1.0,1,20.0,-1,22.32,0.0
215,4761,13,observe,1.0,1,12.0,-1,22.27,0.0
216,4776,15,observe,1.0,1,14.0,-1,22.27,0.0
217,4787,11,observe,1.0,0,10.0,-1,22.13,0.0
218,4800,13,observe,1.0,0,13.0,-1,22.1,0.0
218,4817,30,observe,1.0,1,29.0,-1,22.1,0.0
219,4832,15,observe,1.0,0,14.0,-1,21.97,0.0
220,4858,26,observe,1.0,0,25.0,-1,21.84,0.0
221,4870,12,observe,1.0,1,11.0,-1,21.69,0.0
222,4931,61,observe,1.0,1,60.0,-1,21.64,0.0
223,4964,33,observe,1.0,1,32.0,-1,22.08,0.0
224,4975,11,observe,1.0,0,10.0,-1,22.23,0.0
225,4991,16,observe,1.0,0,15.0,-1,22.17,0.0
226,5000,9,observe,0.99991,0,9.0,-1,22.22,0.0
226,5010,19,explore,0.9990099999999996,1,18.0,-1,22.22,0.04981376707553863
227,5031,21,explore,0.9971199999999989,0,20.0,-1,22.14,0.09112752735614776
228,5055,24,explore,0.9949599999999981,0,23.0,-1,22.01,0.0960748752951622
229,5077,22,explore,0.9929799999999973,1,21.0,-1,22.13,0.03894664205610752
230,5099,22,explore,0.9909999999999966,0,21.0,-1,21.74,0.049503999059088526
231,5113,14,explore,0.9897399999999961,0,13.0,-1,21.83,0.024564340487122537
232,5122,9,explore,0.9889299999999958,1,8.0,-1,21.85,0.049116921722888944
233,5154,32,explore,0.9860499999999947,1,31.0,[[3.496966  3.3598166]],21.68,0.08192013865802437
234,5169,15,explore,0.9846999999999941,0,14.0,-1,21.88,0.07174362286925316
235,5183,14,explore,0.9834399999999937,0,13.0,-1,21.7,0.05402437082491815
236,5198,15,explore,0.9820899999999931,0,14.0,-1,21.66,0.11478762149810791
237,5200,2,explore,0.9819099999999931,1,2.0,-1,21.7,0.006388110518455506
237,5216,18,explore,0.9804699999999925,0,17.0,-1,21.7,0.0669370015989989
238,5260,44,explore,0.976509999999991,1,43.0,-1,21.7,0.2687087954673916
239,5299,39,explore,0.9729999999999897,1,38.0,[[5.007706 4.79162 ]],21.85,0.24116171193309127
240,5310,11,explore,0.9720099999999893,1,10.0,[[5.9533315 5.5726423]],22.01,0.10840080650523305
241,5328,18,explore,0.9703899999999887,0,17.0,-1,21.92,0.16799959987401963
242,5344,16,explore,0.9689499999999881,0,15.0,-1,21.97,0.1789032679796219
243,5373,29,explore,0.9663399999999871,0,28.0,-1,21.89,0.3336537440493703
244,5400,27,explore,0.9639099999999862,0,27.0,-1,21.9,0.26852586906403303
244,5426,53,explore,0.9615699999999853,0,52.0,[[7.805864 7.626272]],21.9,0.5297332502529025
245,5439,13,explore,0.9603999999999848,0,12.0,[[7.659755  7.1215672]],22.26,0.1147241061553359
246,5465,26,explore,0.9580599999999839,0,25.0,[[8.335403 8.400845]],22.12,0.4398507894203067
247,5499,34,explore,0.9549999999999828,0,33.0,[[9.14005  8.585544]],22.13,0.4105359523836523
248,5516,17,explore,0.9534699999999822,0,16.0,[[9.426351 9.490852]],22.24,0.39973714366555213
249,5531,15,explore,0.9521199999999816,0,14.0,[[8.937228 8.590199]],21.88,0.23052090138196946
250,5554,23,explore,0.9500499999999809,0,22.0,[[8.701207 8.007697]],21.84,0.4605352444946766
251,5586,32,explore,0.9471699999999798,1,31.0,[[10.980493 10.210926]],21.91,0.6935814920812845
252,5598,12,explore,0.9460899999999793,1,11.0,-1,22.05,0.2843045888841152
253,5600,2,explore,0.9459099999999793,1,2.0,-1,21.97,0.04549119353294372
253,5625,27,explore,0.9436599999999784,0,26.0,[[10.532141  9.922881]],21.97,0.5061791680008173
254,5638,13,explore,0.942489999999978,0,12.0,[[10.330411  9.980227]],22.11,0.2163102489709854
255,5650,12,explore,0.9414099999999775,0,11.0,[[11.013454 10.818091]],22.09,0.21967408046126366
256,5662,12,explore,0.9403299999999771,1,11.0,-1,22.1,0.29182711079716683
257,5672,10,explore,0.9394299999999768,1,9.0,-1,22.02,0.2422109194844961
258,5694,22,explore,0.937449999999976,0,21.0,[[10.06321  10.890998]],21.94,0.6240800742805004
259,5718,24,explore,0.9352899999999752,1,23.0,-1,21.93,0.5120594677329063
260,5736,18,explore,0.9336699999999746,0,17.0,[[11.28441  11.519136]],21.96,0.41576704174280166
261,5800,64,explore,0.9279099999999724,0,64.0,[[8.246585 8.518172]],22.01,1.2387888765335082
261,5802,66,explore,0.9277299999999723,1,65.0,[[8.246585 8.518172]],22.01,1.2690515166521072
262,5833,31,explore,0.9249399999999712,1,30.0,[[3.8887618 5.7435665]],22.51,0.6750323855876923
263,5852,19,explore,0.9232299999999706,1,18.0,[[11.5429535 11.065631 ]],22.61,0.40117076218128206
264,5868,16,explore,0.92178999999997,1,15.0,[[7.8181815 9.886101 ]],22.2,0.4375206784904003
265,5892,24,explore,0.9196299999999692,0,23.0,[[13.373922 14.606947]],22.04,0.6576781794428825
266,5953,61,explore,0.9141399999999671,1,60.0,[[ 8.293327 10.454616]],22.15,1.1673622077703476
267,6000,47,explore,0.9099099999999655,0,47.0,[[11.255515 12.640725]],22.45,0.7344907552003861
267,6010,57,explore,0.9090099999999651,1,56.0,[[8.994166 7.097965]],22.45,0.9767645066976547
268,6028,18,explore,0.9073899999999645,1,17.0,[[1.7404993 4.565191 ]],22.89,0.45916017234325407
269,6046,18,explore,0.9057699999999639,0,17.0,[[6.261433 8.911042]],22.83,0.3180658745765686
270,6066,20,explore,0.9039699999999632,1,19.0,[[15.61607  16.242132]],22.85,0.42086381286382674
271,6131,65,explore,0.898119999999961,0,64.0,[[15.9460535 16.278734 ]],22.8,0.9517980195581913
272,6145,14,explore,0.8968599999999605,0,13.0,[[14.980741 13.685422]],23.33,0.39698002696037293
273,6193,48,explore,0.8925399999999588,0,47.0,[[10.860265   6.9046664]],23.27,0.5807196013629436
274,6200,7,explore,0.8919099999999586,0,7.0,[[17.505388 15.976248]],23.49,0.1734702044725418
274,6247,54,explore,0.887679999999957,1,53.0,[[7.701997 9.61643 ]],23.49,1.3336866441369057
275,6261,14,explore,0.8864199999999565,0,13.0,-1,23.78,0.32696657538414003
276,6271,10,explore,0.8855199999999561,1,9.0,-1,23.75,0.1752575558423996
277,6293,22,explore,0.8835399999999554,1,21.0,[[6.9624314 8.8051195]],23.6,0.5286534503102303
278,6348,55,explore,0.8785899999999535,0,54.0,[[12.907299 14.922731]],23.64,1.194263454079628
279,6374,26,explore,0.8762499999999526,1,25.0,[[14.484984 16.460285]],23.81,0.5417467245459556
280,6400,26,explore,0.8739099999999517,0,26.0,[[21.43129  20.932291]],23.46,0.49733424961566924
280,6451,77,explore,0.8693199999999499,0,76.0,[[10.879065 14.135795]],23.46,1.7882713662087917
281,6497,46,explore,0.8651799999999483,1,45.0,[[ 1.0708406 -4.4300375]],24.11,0.9917508417367935
