#Episode,#Frame,#Epsode Timesteps,Total episode score,Last Mean Batch Loss
200,4369,16,15.0,-1
201,4381,12,11.0,-1
202,4400,19,18.0,-1
203,4421,21,20.0,-1
204,4446,25,24.0,-1
205,4461,15,14.0,-1
206,4491,30,29.0,-1
207,4515,24,23.0,-1
208,4537,22,21.0,-1
209,4552,15,14.0,-1
210,4566,14,13.0,-1
211,4604,38,37.0,-1
212,4618,14,13.0,-1
213,4653,35,34.0,-1
214,4665,12,11.0,-1
215,4684,19,18.0,-1
216,4698,14,13.0,-1
217,4754,56,55.0,-1
218,4773,19,18.0,-1
219,4793,20,19.0,-1
220,4837,44,43.0,-1
221,4873,36,35.0,-1
222,4900,27,26.0,-1
223,4914,14,13.0,-1
224,4929,15,14.0,-1
225,4949,20,19.0,-1
226,4963,14,13.0,-1
227,4980,17,16.0,-1
228,5004,24,23.0,0.5385573
229,5040,36,35.0,0.41727072
230,5063,23,22.0,0.36573264
231,5075,12,11.0,0.24021119
232,5121,46,45.0,0.079500146
233,5132,11,10.0,0.107421055
234,5199,67,66.0,0.22804853
235,5234,35,34.0,0.022485027
236,5248,14,13.0,0.9250127
237,5263,15,14.0,0.42268676
238,5279,16,15.0,0.6127526
239,5292,13,12.0,1.0140517
240,5313,21,20.0,0.47320938
241,5336,23,22.0,0.8739526
242,5368,32,31.0,0.07362856
243,5399,31,30.0,1.0804236
244,5423,24,23.0,1.1490998
245,5451,28,27.0,0.03558208
246,5466,15,14.0,1.6362984
247,5491,25,24.0,1.3470736
248,5505,14,13.0,0.20104243
249,5552,47,46.0,1.835938
250,5564,12,11.0,1.3419833
251,5602,38,37.0,0.3905732
252,5620,18,17.0,1.0524583
253,5639,19,18.0,1.0164733
254,5669,30,29.0,1.178803
255,5681,12,11.0,0.8929596
256,5717,36,35.0,1.9128022
257,5737,20,19.0,1.6908481
258,5769,32,31.0,0.8869049
259,5798,29,28.0,0.732457
260,5818,20,19.0,0.5425354
261,5838,20,19.0,0.27041146
262,5870,32,31.0,3.9090605
263,5886,16,15.0,0.39556873
264,5909,23,22.0,0.71128416
265,5927,18,17.0,5.15662
266,5944,17,16.0,0.73530483
267,5963,19,18.0,1.4949248
268,5975,12,11.0,1.1986672
269,6007,32,31.0,2.0108051
270,6035,28,27.0,0.46082038
271,6094,59,58.0,0.2183767
272,6115,21,20.0,1.4974395
273,6138,23,22.0,1.088786
274,6159,21,20.0,2.1477513
275,6172,13,12.0,0.74621314
276,6196,24,23.0,0.9928558
277,6256,60,59.0,3.9137037
278,6282,26,25.0,3.6364737
279,6295,13,12.0,0.9334228
280,6350,55,54.0,2.0151238
281,6381,31,30.0,5.6914606
282,6399,18,17.0,0.79681784
283,6419,20,19.0,1.3303473
284,6438,19,18.0,0.9927394
285,6460,22,21.0,0.30740625
286,6478,18,17.0,1.1435019
287,6509,31,30.0,0.41747454
288,6527,18,17.0,0.8902974
289,6553,26,25.0,1.8128684
290,6566,13,12.0,1.7871667
291,6589,23,22.0,1.4983633
292,6625,36,35.0,0.9267279
293,6649,24,23.0,1.8921201
294,6678,29,28.0,1.0802374
295,6726,48,47.0,0.76556027
296,6743,17,16.0,0.60701406
297,6757,14,13.0,1.4876838
298,6779,22,21.0,1.1983433
299,6809,30,29.0,4.7935934
300,6825,16,15.0,2.086887
301,6864,39,38.0,0.41509163
302,6883,19,18.0,6.7051773
303,6895,12,11.0,3.9541492
304,6930,35,34.0,4.1977077
305,6941,11,10.0,0.76599884
306,6967,26,25.0,1.048733
307,6984,17,16.0,0.9830395
308,7002,18,17.0,1.0067116
309,7012,10,9.0,1.1302613
310,7044,32,31.0,0.6598679
311,7095,51,50.0,0.57443196
312,7156,61,60.0,1.2692198
313,7203,47,46.0,0.79857504
314,7221,18,17.0,4.543522
315,7242,21,20.0,2.619261
316,7275,33,32.0,5.910481
317,7285,10,9.0,23.894455
318,7347,62,61.0,1.3182709
319,7398,51,50.0,17.465862
320,7443,45,44.0,1.7925917
321,7503,60,59.0,1.2892249
322,7542,39,38.0,1.7166189
323,7571,29,28.0,1.8677303
324,7680,109,108.0,1.4669002
325,7712,32,31.0,3.2249112
326,7733,21,20.0,5.0950394
327,7797,64,63.0,2.5549865
328,7822,25,24.0,4.885553
329,7846,24,23.0,4.52059
330,7979,133,132.0,2.6924348
331,8050,71,70.0,1.6319287
332,8066,16,15.0,2.625658
333,8098,32,31.0,3.3871486
334,8144,46,45.0,2.6481214
335,8158,14,13.0,2.0218196
336,8229,71,70.0,3.2543025
337,8252,23,22.0,1.6626823
338,8309,57,56.0,1.807905
339,8383,74,73.0,2.5884848
340,8411,28,27.0,15.744734
341,8468,57,56.0,1.153149
342,8555,87,86.0,1.3801595
343,8624,69,68.0,9.483845
344,8699,75,74.0,1.3565862
345,8710,11,10.0,1.3250827
346,8740,30,29.0,17.85417
347,8812,72,71.0,2.2440495
348,8934,122,121.0,6.602743
349,8949,15,14.0,2.1067195
350,9040,91,90.0,1.8694685
351,9055,15,14.0,2.8914955
352,9129,74,73.0,3.3584359
353,9188,59,58.0,11.3377285
354,9266,78,77.0,36.74327
355,9322,56,55.0,2.7980099
356,9388,66,65.0,2.829873
357,9400,12,11.0,6.515492
358,9420,20,19.0,11.47064
359,9450,30,29.0,0.84817183
360,9468,18,17.0,8.582107
361,9495,27,26.0,2.1426885
362,9551,56,55.0,5.420766
363,9578,27,26.0,5.767203
364,9599,21,20.0,7.375711
365,9619,20,19.0,2.4774268
366,9715,96,95.0,9.504869
367,9761,46,45.0,4.536472
368,9816,55,54.0,2.341116
369,9831,15,14.0,65.53465
370,9882,51,50.0,1.6229846
371,9939,57,56.0,3.101019
372,9955,16,15.0,1.607091
373,9971,16,15.0,106.010155
374,10007,36,35.0,4.6289153
375,10128,121,120.0,2.2317438
376,10165,37,36.0,5.9119205
377,10184,19,18.0,2.5116467
378,10207,23,22.0,2.431572
379,10220,13,12.0,2.2817829
380,10233,13,12.0,2.391798
381,10261,28,27.0,2.0423353
382,10291,30,29.0,1.3677005
383,10353,62,61.0,4.378777
384,10389,36,35.0,115.71964
385,10420,31,30.0,3.7575996
386,10461,41,40.0,22.793856
387,10479,18,17.0,1.2149404
388,10496,17,16.0,2.7664351
389,10576,80,79.0,7.675996
390,10628,52,51.0,44.85486
391,10726,98,97.0,10.377514
392,10751,25,24.0,3.7093744
393,10840,89,88.0,1.1976604
394,10986,146,145.0,1.9089007
395,11016,30,29.0,19.839767
396,11048,32,31.0,12.027417
397,11126,78,77.0,2.465519
398,11180,54,53.0,9.117445
399,11195,15,14.0,4.791239
400,11293,98,97.0,10.047526
401,11314,21,20.0,39.530884
402,11350,36,35.0,5.0445523
403,11429,79,78.0,2.7627532
404,11505,76,75.0,5.623939
405,11514,9,8.0,3.713174
406,11547,33,32.0,4.8771963
407,11571,24,23.0,6.368084
408,11611,40,39.0,2.4011087
409,11698,87,86.0,7.4067173
410,11838,140,139.0,11.770867
411,11928,90,89.0,14.687632
412,12047,119,118.0,3.3300405
413,12105,58,57.0,4.512958
414,12153,48,47.0,3.776227
415,12252,99,98.0,2.708233
416,12262,10,9.0,2.640213
417,12335,73,72.0,4.254222
418,12358,23,22.0,2.46068
419,12373,15,14.0,6.9003525
420,12429,56,55.0,9.562091
421,12550,121,120.0,2.8440404
422,12611,61,60.0,206.12003
423,12653,42,41.0,3.3309216
424,12678,25,24.0,7.487291
425,12782,104,103.0,104.72683
426,12898,116,115.0,5.0981855
427,13005,107,106.0,6.6753554
428,13018,13,12.0,9.575452
429,13033,15,14.0,3.2500591
430,13058,25,24.0,7.1754856
431,13088,30,29.0,3.2746677
432,13217,129,128.0,6.088177
433,13361,144,143.0,8.167863
434,13373,12,11.0,3.1872053
435,13387,14,13.0,8.987014
436,13478,91,90.0,4.826108
437,13561,83,82.0,66.50277
438,13575,14,13.0,4.4514885
439,13692,117,116.0,2.6661339
440,13714,22,21.0,2.2546382
441,13813,99,98.0,5.619446
442,13899,86,85.0,6.189742
443,13961,62,61.0,2.543457
444,14055,94,93.0,3.8872848
445,14167,112,111.0,2.3423257
446,14312,145,144.0,16.378685
447,14356,44,43.0,7.113616
448,14527,171,170.0,7.335151
449,14577,50,49.0,5.5358124
450,14668,91,90.0,3.7581482
451,14782,114,113.0,5.482959
452,14921,139,138.0,2.2605824
453,14974,53,52.0,6.9739757
454,15194,220,219.0,4.197297
455,15366,172,171.0,19.32365
456,15457,91,90.0,3.1583545
457,15546,89,88.0,70.180885
458,15683,137,136.0,8.702031
459,15856,173,172.0,20.66056
460,15949,93,92.0,7.5002794
461,16158,209,208.0,3.2099218
462,16350,192,191.0,2.8675275
463,16597,247,246.0,4.4182897
464,16735,138,137.0,18.475971
465,16831,96,95.0,4.7700405
466,16969,138,137.0,42.418175
467,17279,310,309.0,11.224364
468,17438,159,158.0,22.44673
469,17680,242,241.0,21.07905
470,17938,258,257.0,4.2196226
471,18111,173,172.0,5.0051184
472,18390,279,278.0,108.95866
473,18704,314,313.0,3.5170913
474,18946,242,241.0,5.8943934
475,19096,150,149.0,4.733539
476,19276,180,179.0,14.150056
477,19515,239,238.0,3.3136325
478,19871,356,355.0,11.955309
479,20017,146,145.0,1.350348
480,20261,244,243.0,2.5619655
481,20381,120,119.0,2.4412808
482,20421,40,39.0,7.5741625
483,20580,159,158.0,13.147646
484,20807,227,226.0,4.7580333
485,20851,44,43.0,7.5246425
486,21068,217,216.0,5.460925
487,21133,65,64.0,7.167387
488,21365,232,231.0,11.856955
489,21605,240,239.0,114.52851
490,21666,61,60.0,10.155319
491,21681,15,14.0,11.016533
492,21702,21,20.0,102.515366
493,21724,22,21.0,4.8256617
494,21974,250,249.0,6.814616
495,22239,265,264.0,3.9887404
496,22390,151,150.0,3.5817528
497,22527,137,136.0,3.970905
498,22683,156,155.0,3.8280296
499,22809,126,125.0,3.2811737
500,22922,113,112.0,5.672423
501,23029,107,106.0,205.4067
502,23163,134,133.0,3.2141612
503,23331,168,167.0,6.7294526
504,23518,187,186.0,2.9797778
505,23701,183,182.0,3.5012913
506,23737,36,35.0,8.954832
507,23902,165,164.0,5.243392
508,24008,106,105.0,2.9805107
509,24160,152,151.0,7.013205
510,24175,15,14.0,5.1593513
511,24277,102,101.0,2.7226374
512,24319,42,41.0,13.0484295
513,24532,213,212.0,6.567255
514,24681,149,148.0,5.086256
515,24839,158,157.0,3.725503
516,25022,183,182.0,6.542741
517,25147,125,124.0,7.997032
518,25330,183,182.0,139.4363
519,25349,19,18.0,3.7438593
520,25609,260,259.0,10.80426
521,25684,75,74.0,7.7464314
522,25716,32,31.0,199.19095
523,25899,183,182.0,12.083345
524,25946,47,46.0,3.6306167
525,26014,68,67.0,10.817638
526,26251,237,236.0,2.1324952
527,26417,166,165.0,7.1047044
