EPISODE,TOTAL FRAMES,FRAME,STATE,EPSILON,ACTION,REWARD,Q_MAX,MEAN REWARD,Last Batch Loss Mean
94,1986,15,observe,1.0,1,14.0,-1,18.77,0.0
95,2000,14,observe,1.0,1,14.0,-1,18.91,0.0
95,2006,20,observe,1.0,1,19.0,-1,18.91,0.0
96,2023,17,observe,1.0,1,16.0,-1,19.1,0.0
97,2041,18,observe,1.0,0,17.0,-1,19.26,0.0
98,2055,14,observe,1.0,1,13.0,-1,19.43,0.0
99,2069,14,observe,1.0,1,13.0,-1,19.56,0.0
100,2081,12,observe,1.0,0,11.0,-1,19.69,0.0
101,2101,20,observe,1.0,1,19.0,-1,19.66,0.0
102,2138,37,observe,1.0,0,36.0,-1,19.6,0.0
103,2176,38,observe,1.0,0,37.0,-1,19.87,0.0
104,2197,21,observe,1.0,1,20.0,-1,20.15,0.0
105,2200,3,observe,1.0,1,3.0,-1,20.22,0.0
105,2221,24,observe,1.0,0,23.0,-1,20.22,0.0
106,2237,16,observe,1.0,1,15.0,-1,20.19,0.0
107,2261,24,observe,1.0,0,23.0,-1,20.08,0.0
108,2296,35,observe,1.0,0,34.0,-1,20.11,0.0
109,2310,14,observe,1.0,1,13.0,-1,20.26,0.0
110,2336,26,observe,1.0,1,25.0,-1,20.22,0.0
111,2379,43,observe,1.0,0,42.0,-1,20.37,0.0
112,2389,10,observe,1.0,1,9.0,-1,20.65,0.0
113,2400,11,observe,1.0,0,11.0,-1,20.56,0.0
113,2412,23,observe,1.0,1,22.0,-1,20.56,0.0
114,2426,14,observe,1.0,0,13.0,-1,20.62,0.0
115,2461,35,observe,1.0,1,34.0,-1,20.62,0.0
116,2474,13,observe,1.0,1,12.0,-1,20.86,0.0
117,2502,28,observe,1.0,0,27.0,-1,20.81,0.0
118,2516,14,observe,1.0,0,13.0,-1,20.89,0.0
119,2533,17,observe,1.0,1,16.0,-1,20.8,0.0
120,2562,29,observe,1.0,1,28.0,-1,20.84,0.0
121,2573,11,observe,1.0,0,10.0,-1,21.0,0.0
122,2584,11,observe,1.0,0,10.0,-1,20.93,0.0
123,2600,16,observe,1.0,0,16.0,-1,20.78,0.0
123,2607,23,observe,1.0,0,22.0,-1,20.78,0.0
124,2622,15,observe,1.0,0,14.0,-1,20.35,0.0
125,2633,11,observe,1.0,0,10.0,-1,20.25,0.0
126,2682,49,observe,1.0,0,48.0,-1,20.27,0.0
127,2711,29,observe,1.0,1,28.0,-1,20.54,0.0
128,2729,18,observe,1.0,1,17.0,-1,20.64,0.0
129,2746,17,observe,1.0,0,16.0,-1,20.38,0.0
130,2800,54,observe,1.0,0,54.0,-1,20.44,0.0
130,2806,60,observe,1.0,1,59.0,-1,20.44,0.0
131,2822,16,observe,1.0,1,15.0,-1,20.9,0.0
132,2836,14,observe,1.0,0,13.0,-1,20.88,0.0
133,2865,29,observe,1.0,1,28.0,-1,20.9,0.0
134,2886,21,observe,1.0,0,20.0,-1,20.68,0.0
135,2903,17,observe,1.0,0,16.0,-1,20.67,0.0
136,2949,46,observe,1.0,0,45.0,-1,20.64,0.0
137,2971,22,observe,1.0,0,21.0,-1,20.97,0.0
138,2984,13,observe,1.0,0,12.0,-1,20.97,0.0
139,3000,16,observe,1.0,1,16.0,-1,20.84,0.0
139,3018,34,observe,1.0,0,33.0,-1,20.84,0.0
140,3032,14,observe,1.0,1,13.0,-1,21.0,0.0
141,3054,22,observe,1.0,1,21.0,-1,21.01,0.0
142,3067,13,observe,1.0,0,12.0,-1,20.92,0.0
143,3082,15,observe,1.0,0,14.0,-1,20.89,0.0
144,3104,22,observe,1.0,1,21.0,-1,20.85,0.0
145,3123,19,observe,1.0,1,18.0,-1,20.99,0.0
146,3166,43,observe,1.0,1,42.0,-1,20.98,0.0
147,3200,34,observe,1.0,0,34.0,-1,21.32,0.0
147,3204,38,observe,1.0,0,37.0,-1,21.32,0.0
148,3221,17,observe,1.0,0,16.0,-1,21.58,0.0
149,3256,35,observe,1.0,1,34.0,-1,21.63,0.0
150,3284,28,observe,1.0,0,27.0,-1,21.74,0.0
151,3307,23,observe,1.0,0,22.0,-1,21.85,0.0
152,3318,11,observe,1.0,0,10.0,-1,21.81,0.0
153,3330,12,observe,1.0,0,11.0,-1,21.71,0.0
154,3341,11,observe,1.0,0,10.0,-1,21.61,0.0
155,3391,50,observe,1.0,0,49.0,-1,21.51,0.0
156,3400,9,observe,1.0,1,9.0,-1,21.87,0.0
156,3413,22,observe,1.0,0,21.0,-1,21.87,0.0
157,3430,17,observe,1.0,0,16.0,-1,21.91,0.0
158,3444,14,observe,1.0,1,13.0,-1,21.77,0.0
159,3475,31,observe,1.0,1,30.0,-1,21.75,0.0
160,3515,40,observe,1.0,1,39.0,-1,21.92,0.0
161,3532,17,observe,1.0,0,16.0,-1,22.12,0.0
162,3542,10,observe,1.0,1,9.0,-1,22.2,0.0
163,3560,18,observe,1.0,1,17.0,-1,22.14,0.0
164,3576,16,observe,1.0,1,15.0,-1,22.06,0.0
165,3600,24,observe,1.0,0,24.0,-1,22.11,0.0
165,3605,29,observe,1.0,0,28.0,-1,22.11,0.0
166,3632,27,observe,1.0,0,26.0,-1,22.27,0.0
167,3647,15,observe,1.0,0,14.0,-1,22.42,0.0
168,3662,15,observe,1.0,1,14.0,-1,22.41,0.0
169,3673,11,observe,1.0,0,10.0,-1,22.4,0.0
170,3730,57,observe,1.0,0,56.0,-1,22.31,0.0
171,3770,40,observe,1.0,1,39.0,-1,22.71,0.0
172,3793,23,observe,1.0,0,22.0,-1,22.85,0.0
173,3800,7,observe,1.0,1,7.0,-1,22.94,0.0
173,3805,12,observe,1.0,1,11.0,-1,22.94,0.0
174,3819,14,observe,1.0,1,13.0,-1,22.82,0.0
175,3839,20,observe,1.0,1,19.0,-1,22.76,0.0
176,3866,27,observe,1.0,1,26.0,-1,22.41,0.0
177,3884,18,observe,1.0,0,17.0,-1,22.5,0.0
178,3896,12,observe,1.0,0,11.0,-1,22.54,0.0
179,3911,15,observe,1.0,0,14.0,-1,22.57,0.0
180,3929,18,observe,1.0,1,17.0,-1,22.6,0.0
181,3942,13,observe,1.0,1,12.0,-1,22.63,0.0
182,3966,24,observe,1.0,1,23.0,-1,22.61,0.0
183,3995,29,observe,1.0,0,28.0,-1,22.64,0.0
184,4000,5,observe,1.0,1,5.0,-1,22.63,0.0
184,4017,22,observe,1.0,0,21.0,-1,22.63,0.0
185,4032,15,observe,1.0,1,14.0,-1,22.71,0.0
186,4066,34,observe,1.0,0,33.0,-1,22.47,0.0
187,4086,20,observe,1.0,1,19.0,-1,22.66,0.0
188,4117,31,observe,1.0,1,30.0,-1,22.54,0.0
189,4127,10,observe,1.0,0,9.0,-1,22.7,0.0
190,4177,50,observe,1.0,1,49.0,-1,22.36,0.0
191,4199,22,observe,1.0,0,21.0,-1,22.53,0.0
192,4200,1,observe,1.0,1,1.0,-1,22.21,0.0
192,4214,15,observe,1.0,1,14.0,-1,22.21,0.0
193,4241,27,observe,1.0,0,26.0,-1,21.73,0.0
194,4254,13,observe,1.0,0,12.0,-1,21.7,0.0
195,4289,35,observe,1.0,0,34.0,-1,21.68,0.0
196,4318,29,observe,1.0,0,28.0,-1,21.83,0.0
197,4328,10,observe,1.0,0,9.0,-1,21.95,0.0
198,4346,18,observe,1.0,0,17.0,-1,21.87,0.0
199,4362,16,observe,1.0,0,15.0,-1,21.91,0.0
200,4377,15,observe,1.0,0,14.0,-1,21.93,0.0
201,4400,23,observe,1.0,1,23.0,-1,21.96,0.0
201,4422,45,observe,1.0,1,44.0,-1,21.96,0.0
202,4459,37,observe,1.0,1,36.0,-1,22.21,0.0
203,4470,11,observe,1.0,1,10.0,-1,22.21,0.0
204,4483,13,observe,1.0,1,12.0,-1,21.94,0.0
205,4500,17,observe,1.0,1,16.0,-1,21.86,0.0
206,4519,19,observe,1.0,1,18.0,-1,21.79,0.0
207,4547,28,observe,1.0,0,27.0,-1,21.82,0.0
208,4557,10,observe,1.0,0,9.0,-1,21.86,0.0
209,4573,16,observe,1.0,0,15.0,-1,21.61,0.0
210,4590,17,observe,1.0,1,16.0,-1,21.63,0.0
211,4600,10,observe,1.0,0,9.0,-1,21.54,0.0
212,4636,36,observe,1.0,1,35.0,-1,21.21,0.0
213,4657,21,observe,1.0,1,20.0,-1,21.47,0.0
214,4669,12,observe,1.0,0,11.0,-1,21.45,0.0
215,4698,29,observe,1.0,0,28.0,-1,21.43,0.0
216,4709,11,observe,1.0,1,10.0,-1,21.37,0.0
217,4725,16,observe,1.0,0,15.0,-1,21.35,0.0
218,4742,17,observe,1.0,0,16.0,-1,21.23,0.0
219,4759,17,observe,1.0,1,16.0,-1,21.26,0.0
220,4775,16,observe,1.0,1,15.0,-1,21.26,0.0
221,4800,25,observe,1.0,0,25.0,-1,21.13,0.0
221,4824,49,observe,1.0,1,48.0,-1,21.13,0.0
222,4862,38,observe,1.0,0,37.0,-1,21.51,0.0
223,4873,11,observe,1.0,1,10.0,-1,21.78,0.0
224,4885,12,observe,1.0,0,11.0,-1,21.66,0.0
225,4899,14,observe,1.0,1,13.0,-1,21.63,0.0
226,4938,39,observe,1.0,0,38.0,-1,21.66,0.0
227,4961,23,observe,1.0,1,22.0,-1,21.56,0.0
228,4974,13,observe,1.0,0,12.0,-1,21.5,0.0
229,4993,19,observe,1.0,1,18.0,-1,21.45,0.0
230,5000,7,observe,0.99991,1,7.0,-1,21.47,0.0
230,5018,25,explore,0.9982899999999993,1,24.0,-1,21.47,0.09672422289848327
231,5041,23,explore,0.9962199999999986,0,22.0,-1,21.12,0.09871838599443436
232,5058,17,explore,0.994689999999998,1,16.0,-1,21.19,0.07512947589159012
233,5073,15,explore,0.9933399999999974,1,14.0,-1,21.22,0.035814589262008666
234,5090,17,explore,0.9918099999999969,1,16.0,-1,21.08,0.047105315625667575
235,5129,39,explore,0.9882999999999955,1,38.0,-1,21.04,0.05076807225123048
236,5158,29,explore,0.9856899999999945,0,28.0,-1,21.26,0.07977907491847873
237,5176,18,explore,0.9840699999999939,0,17.0,[[2.2754455 2.2197144]],21.09,0.022799719828180968
238,5200,24,explore,0.9819099999999931,1,24.0,-1,21.05,0.0801548051647842
238,5214,38,explore,0.9806499999999926,0,37.0,[[3.0283227 3.0068192]],21.05,0.12006894907914102
239,5227,13,explore,0.9794799999999921,0,12.0,[[3.050153  3.1227703]],21.3,0.038635807149112224
240,5250,23,explore,0.9774099999999913,0,22.0,-1,21.09,0.11200551903806627
241,5277,27,explore,0.9749799999999904,1,26.0,-1,21.18,0.13086335926316678
242,5297,20,explore,0.9731799999999897,0,19.0,-1,21.23,0.17616107853129506
243,5306,9,explore,0.9723699999999894,1,8.0,-1,21.3,0.04743571268394589
244,5333,27,explore,0.9699399999999885,1,26.0,-1,21.24,0.2026050592586398
245,5347,14,explore,0.968679999999988,1,13.0,-1,21.29,0.09964412700384856
246,5359,12,explore,0.9675999999999876,1,11.0,[[6.3047104 6.1453457]],21.24,0.16817738950252534
247,5377,18,explore,0.965979999999987,0,17.0,-1,20.93,0.24725174967199565
