#Episode,#Frame,#Epsode Timesteps,Total episode score,Last Mean Batch Loss
214,4669,12,11.0,0.0
215,4698,29,28.0,0.0
216,4709,11,10.0,0.0
217,4725,16,15.0,0.0
218,4742,17,16.0,0.0
219,4759,17,16.0,0.0
220,4775,16,15.0,0.0
221,4824,49,48.0,0.0
222,4862,38,37.0,0.0
223,4873,11,10.0,0.0
224,4885,12,11.0,0.0
225,4899,14,13.0,0.0
226,4938,39,38.0,0.0
227,4961,23,22.0,0.0
228,4974,13,12.0,0.0
229,4993,19,18.0,0.0
230,5018,25,24.0,0.09672422289848327
231,5041,23,22.0,0.09871838599443436
232,5058,17,16.0,0.07512947589159012
233,5073,15,14.0,0.035814589262008666
234,5090,17,16.0,0.047105315625667575
235,5129,39,38.0,0.05076807225123048
236,5158,29,28.0,0.07977907491847873
237,5176,18,17.0,0.022799719828180968
238,5214,38,37.0,0.12006894907914102
239,5227,13,12.0,0.038635807149112224
240,5250,23,22.0,0.11200551903806627
241,5277,27,26.0,0.13086335926316678
242,5297,20,19.0,0.17616107853129506
243,5306,9,8.0,0.04743571268394589
244,5333,27,26.0,0.2026050592586398
245,5347,14,13.0,0.09964412700384856
246,5359,12,11.0,0.16817738950252534
247,5377,18,17.0,0.24725174967199565
248,5410,33,32.0,0.4162234880030155
249,5432,22,21.0,0.2656879039853811
250,5506,74,73.0,0.9471732214465738
251,5521,15,14.0,0.12646457549184562
252,5546,25,24.0,0.3523823057115078
253,5560,14,13.0,0.18084649845957756
254,5603,43,42.0,0.6822545061632991
255,5621,18,17.0,0.29807149201631544
256,5637,16,15.0,0.23352981731295586
257,5660,23,22.0,0.36343794137239455
258,5687,27,26.0,0.5351133851706982
259,5729,42,41.0,0.5322549161314964
260,5741,12,11.0,0.16101038813591004
261,5761,20,19.0,0.29157401993870735
262,5784,23,22.0,0.33687746942043306
263,5793,9,8.0,0.1276744285225868
264,5833,40,39.0,0.6594015771150589
265,5854,21,20.0,0.31221156403422357
266,5890,36,35.0,0.7413574370741844
267,5907,17,16.0,0.29645544946193697
268,5923,16,15.0,0.39796403884887693
269,5936,13,12.0,0.26796994745731356
270,5956,20,19.0,0.3771472659707069
271,6012,56,55.0,1.0628859457373618
272,6026,14,13.0,0.2500908300280571
273,6040,14,13.0,0.34471371948719026
274,6057,17,16.0,0.40849322617053985
275,6088,31,30.0,0.6246273010969162
276,6120,32,31.0,0.8573971316218376
277,6137,17,16.0,0.4000846430659294
278,6167,30,29.0,0.6455769580602646
279,6184,17,16.0,0.31366929173469543
280,6204,20,19.0,0.5555338698625565
281,6229,25,24.0,0.7074047023057938
282,6248,19,18.0,0.5562341976165771
283,6292,44,43.0,1.14470828384161
284,6316,24,23.0,0.774374774992466
285,6347,31,30.0,1.2532679557800293
286,6412,65,64.0,1.5824145355820656
287,6462,50,49.0,1.1556489770114422
288,6478,16,15.0,0.3255781099200249
289,6494,16,15.0,0.33098764061927793
290,6509,15,14.0,0.3464638060331345
291,6531,22,21.0,0.6210895386338234
292,6559,28,27.0,0.9065948566794395
293,6633,74,73.0,2.0107754564285276
294,6651,18,17.0,0.7057151907682419
295,6673,22,21.0,0.6567943501472473
296,6745,72,71.0,1.8906949400901794
297,6771,26,25.0,0.6173723778128624
298,6804,33,32.0,1.4935463258624078
299,6818,14,13.0,0.5635645687580109
300,6854,36,35.0,1.202310590147972
301,6890,36,35.0,1.1265605425834655
302,6966,76,75.0,2.063895124197006
303,6988,22,21.0,0.31797238141298295
304,7014,26,25.0,0.5440358033776284
305,7041,27,26.0,0.6745850706100464
306,7064,23,22.0,0.7546138441562653
307,7079,15,14.0,0.29424458980560303
308,7095,16,15.0,0.6349541211128235
309,7188,93,92.0,2.841331549882889
310,7220,32,31.0,1.3715642088651656
311,7265,45,44.0,1.4428930482268334
312,7282,17,16.0,0.5846336382627487
313,7303,21,20.0,0.7091961067914963
314,7322,19,18.0,1.1532201945781708
315,7337,15,14.0,0.741704329252243
316,7385,48,47.0,3.0694271075725554
317,7486,101,100.0,3.6098041731119155
318,7516,30,29.0,1.1352006816864013
319,7652,136,135.0,5.847347013950348
320,7673,21,20.0,0.673636035323143
321,7742,69,68.0,3.7292926472425463
322,7769,27,26.0,1.2805118668079376
323,7832,63,62.0,2.411151426434517
324,7906,74,73.0,2.6080218201875685
325,7933,27,26.0,0.7699055051803589
326,8058,125,124.0,3.4053140407800675
327,8070,12,11.0,0.26020075380802155
328,8158,88,87.0,2.1049556535482408
329,8294,136,135.0,3.1598596584796907
330,8417,123,122.0,3.3588757526874544
